Currency,Initial Value,Final Value,Percentage Change,Volatility,Avg Rate of Change,7-Day MA,30-Day MA
JPY,144.31243378,148.90039039,3.18%,1.27535480807075,0.07%,147.20831668571427,145.48641918133336
PKR,282.37688253,284.9213005,0.90%,0.9100548760981412,0.02%,284.5290532542857,283.9316344536667
SEK,9.63539068,9.71948786,0.87%,0.06632929187472152,0.02%,9.57804278,9.557285187
NOK,10.17158938,10.24797347,0.75%,0.07653250680064766,0.02%,10.139272845714286,10.084480258000003
INR,85.39694409,85.94222098,0.64%,0.3530520409580759,0.01%,85.82929239285714,85.89941981466667
CNY,7.20004659,7.17989912,-0.28%,0.010874682197304216,-0.01%,7.172707831428572,7.173076286999998
ZAR,17.96094857,17.89328543,-0.38%,0.13065279160415819,-0.01%,17.875206475714286,17.818973608333334
NZD,1.68777752,1.68041263,-0.44%,0.01097310121210532,-0.01%,1.6675408957142857,1.6599501639999998
CAD,1.38254592,1.37170302,-0.78%,0.006100636518623795,-0.02%,1.3695382457142855,1.3673295723333336
BRL,5.63945643,5.5566619,-1.47%,0.08080585328828313,-0.03%,5.5612562371428576,5.4965232219999995
AUD,1.55551522,1.53265499,-1.47%,0.010673874104257746,-0.03%,1.524121124285714,1.531958944
MXN,19.27053502,18.79797631,-2.45%,0.24602359331604282,-0.05%,18.67455627142857,18.825292679333334
EUR,0.88358836,0.86121987,-2.53%,0.01149892058615534,-0.05%,0.856065472857143,0.8571673246666667
CHF,0.82788448,0.80157874,-3.18%,0.012009598607919557,-0.06%,0.7968181942857143,0.8020790826666665
BTC,9.1941e-06,8.5108e-06,-7.43%,3.4584328474035744e-07,-0.14%,8.582157142857143e-06,9.199203333333333e-06
